"","topDirector","topActor","CastGenderAVG","budget","popularity","revenue","runtime","vote_average","vote_count","holiday_month","num_lang","original_isEnglish","country_USA","country_UK","country_Germany","country_France","country_Canada","country_Austr","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","genre_TV Movie"
"55",0,0,1.77777777777778,175000000,51.692953,331926147,93,6.6,1736,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,1.66666666666667,185000000,125.114374,538983207,93,6.7,4641,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"57",0,1,1.70833333333333,185000000,65.352913,343471816,122,6.6,2568,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,1.66666666666667,180000000,66.390712,521311860,98,7.8,6296,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,1.61538461538462,140000000,22.57178,258022233,91,6.1,783,0,5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"60",0,1,1.70833333333333,200000000,45.274225,769653595,158,5.6,4903,0,9,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",1,1,1.75,200000000,39.744242,325233863,96,6.6,1095,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,1,1.63333333333333,176000003,85.36908,183987723,124,5.2,2768,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,1,1.77777777777778,180000000,42.741719,356743061,109,5.5,2430,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,1,1.65,180000000,67.391328,748806957,143,6.7,2629,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"65",0,1,1.71794871794872,178000000,139.272042,543934787,144,6.4,4721,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,1,1.86792452830189,185000000,187.322927,1004558444,152,8.2,12002,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",1,0,2,175000000,92.201962,735099082,96,7.7,6870,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"68",0,0,1.72727272727273,175000000,36.167578,381509870,94,6,1423,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"69",1,1,1.65217391304348,140000000,120.725053,585174222,126,7.4,8776,0,4,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",1,0,1.8,170000000,32.319043,185770160,126,7,2141,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"71",0,1,1.7037037037037,170000000,40.748915,222104681,106,5.1,1020,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"72",0,0,1.76923076923077,145000000,60.034162,401128639,112,5.2,1387,0,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,1,1.61538461538462,175000000,90.23792,7.45e+08,123,5.9,7458,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,1,1.8,175000000,27.082182,1.73e+08,96,5.3,1151,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"75",1,1,1.70588235294118,178000000,79.456485,370541256,113,7.6,4858,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,1.76923076923077,175000000,44.640292,264218220,135,5.9,992,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,1,1.84210526315789,175000000,32.852443,302469017,118,5.6,1962,0,3,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",1,0,1.63636363636364,175000000,128.655964,857611174,94,8,6560,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"79",1,1,1.85714285714286,175000000,94.199316,966550600,106,6.7,2892,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"80",1,1,1.56818181818182,200000000,77.300194,623933331,124,6.6,6849,0,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,1,1.73333333333333,170000000,77.178973,396600000,127,5.8,3118,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,1.51724137931034,180000000,110.620647,758539785,97,7,4496,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"83",1,1,1.79166666666667,170000000,243.791743,710644566,130,7.3,4410,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,1.58333333333333,27000000,2.418535,0,109,4.8,34,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"85",0,0,1.8,175000000,41.796339,150962475,119,5.9,1326,1,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,1,1.80769230769231,170000000,72.225265,714766572,136,7.6,5764,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,1.6,165000000,44.041186,752600867,93,6,1959,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"88",1,1,1.77777777777778,190000000,130.311355,209154322,130,6.2,2846,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"89",0,0,1.72413793103448,165000000,203.73459,652105443,102,7.8,6135,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"90",0,0,1.63636363636364,165000000,62.341073,471222889,108,7.1,4570,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"91",1,1,1.7,165000000,47.323228,305875730,100,6.4,1474,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,1.66666666666667,165000000,48.775723,389681935,120,4.9,2491,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0,1.72727272727273,165000000,67.263269,494878759,98,7.5,4227,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,1.61538461538462,200000000,69.405188,4.35e+08,109,5.9,2143,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",0,1,1.77272727272727,170000000,481.098624,773328629,121,7.9,9742,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,1,1.74285714285714,165000000,724.247784,675120017,169,8.1,10867,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",1,1,1.74074074074074,160000000,167.58371,825532764,148,8.1,13752,0,3,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"98",0,0,1.84375,15000000,9.476999,7.7e+07,120,6.5,143,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"99",0,1,1.96153846153846,250000000,108.849621,1021103568,169,7,8297,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
